"User-ID";"ISBN";"Book-Rating"
"276725";"034545104X";"0"
"276726";"0155061224";"5"
"276727";"0446520802";"0"
"276729";"052165615X";"3"
"276729";"0521795028";"6"
"276733";"2080674722";"0"
"276736";"3257224281";"8"
"276737";"0600570967";"6"
"276744";"038550120X";"7"
"276745";"342310538";"10"
"276746";"0425115801";"0"
"276746";"0449006522";"0"
"276746";"0553561618";"0"
"276746";"055356451X";"0"
"276746";"0786013990";"0"
"276746";"0786014512";"0"
"276747";"0060517794";"9"
"276747";"0451192001";"0"
"276747";"0609801279";"0"
"276747";"0671537458";"9"
"276747";"0679776818";"8"
"276747";"0943066433";"7"
"276747";"1570231028";"0"
"276747";"1885408226";"7"
"276748";"0747558167";"6"
"276748";"3442437407";"0"
"276751";"033390804X";"0"
"276751";"3596218098";"8"
"276754";"0684867621";"8"
"276755";"0451166892";"5"
"276760";"8440682697";"10"
"276762";"034544003X";"0"
"276762";"0380000059";"0"
"276762";"0380711524";"5"
"276762";"0451167317";"0"
"276762";"0451454952";"0"
"276762";"0843920262";"0"
"276762";"3404122879";"0"
"276762";"3404182928";"0"
"276762";"3404611306";"0"
"276762";"342662429";"0"
"276762";"3426690179";"0"
"276762";"3442424216";"0"
"276762";"3442425573";"0"
"276762";"3453092007";"8"
"276762";"3453157745";"0"
"276762";"3453176944";"0"
"276762";"3453185137";"0"
"276762";"3453185323";"0"
"276762";"3453213025";"3"
"276762";"3453877241";"0"
"276762";"3492226604";"0"
"276762";"3517017442";"0"
"276762";"3596125006";"0"
"276762";"B0000BLD7X";"0"
"276762";"N3453124715";"4"
"276765";"9029716894";"0"
"276768";"9057868059";"4"
"276772";"0140279091";"0"
"276772";"0553572369";"7"
"276772";"0571058086";"0"
"276772";"3499230933";"10"
"276772";"3596151465";"10"
"276774";"0099543818";"0"
"276774";"3404147723";"0"
"276774";"3423111321";"0"
"276774";"3442136644";"9"
"276774";"3492232000";"0"
"276780";"8434811634";"0"
"276780";"8484330478";"7"
"276780";"8484332039";"7"
"276786";"2864322102";"6"
"276786";"8402065945";"0"
"276786";"8423314901";"0"
"276786";"842333533X";"0"
"276786";"8427911769";"0"
"276786";"8433914456";"0"
"276786";"8437606322";"8"
"276786";"8445072919";"0"
"276786";"8466300821";"6"
"276786";"847765011X";"0"
"276786";"8478442588";"6"
"276786";"8495368099";"0"
"276788";"0345443683";"8"
"276788";"043935806X";"7"
"276788";"055310666X";"10"
"276796";"0330332775";"5"
"276796";"0330367358";"0"
"276798";"0006379702";"5"
"276798";"3423084049";"0"
"276798";"3442131340";"7"
"276798";"3442437407";"0"
"276798";"3446202102";"0"
"276798";"3453073398";"0"
"276798";"3453115783";"0"
"276798";"3499134004";"0"
"276798";"349915398X";"0"
"276798";"3548603203";"6"
"276798";"3764501383";"0"
